datum_eerste_toelating,benzine_count,elektriciteit_count,diesel_count,waterstof_count,alcohol_count,lpg_count,cng_count,lng_count
1931-01,17,0,0,0,0,0,0,0
1931-02,128,0,0,0,0,0,0,0
1931-03,8,0,0,0,0,0,0,0
1931-04,11,0,0,0,0,0,0,0
1931-05,5,0,0,0,0,0,0,0
1931-06,472,0,12,0,0,2,0,0
1931-07,14,0,0,0,0,0,0,0
1931-08,5,0,0,0,0,0,0,0
1931-09,16,0,0,0,0,0,0,0
1931-10,2,0,0,0,0,0,0,0
1931-11,6,0,0,0,0,0,0,0
1931-12,7,0,0,0,0,0,0,0
1932-01,9,0,0,0,0,0,0,0
1932-02,49,0,0,0,0,0,0,0
1932-03,9,0,0,0,0,0,0,0
1932-04,5,0,0,0,0,0,0,0
1932-05,5,0,0,0,0,0,0,0
1932-06,364,0,21,0,0,0,0,0
1932-07,10,0,0,0,0,0,0,0
1932-08,1,0,0,0,0,0,0,0
1932-09,10,0,0,0,0,0,0,0
1932-10,2,0,0,0,0,0,0,0
1932-11,1,0,0,0,0,0,0,0
1932-12,10,0,0,0,0,0,0,0
1933-01,13,0,0,0,0,0,0,0
1933-02,39,0,1,0,0,0,0,0
1933-03,7,0,0,0,0,0,0,0
1933-04,6,0,0,0,0,0,0,0
1933-05,4,0,0,0,0,0,0,0
1933-06,288,0,8,0,0,1,0,0
1933-07,12,0,0,0,0,0,0,0
1933-08,3,0,0,0,0,0,0,0
1933-09,15,0,0,0,0,0,0,0
1933-10,5,0,0,0,0,0,0,0
1933-11,7,0,0,0,0,0,0,0
1933-12,7,0,0,0,0,0,0,0
1934-01,12,0,0,0,0,0,0,0
1934-02,50,0,0,0,0,0,0,0
1934-03,10,0,0,0,0,0,0,0
1934-04,10,0,0,0,0,0,0,0
1934-05,4,0,0,0,0,0,0,0
1934-06,385,0,33,0,1,0,0,0
1934-07,21,0,0,0,0,0,0,0
1934-08,7,0,0,0,0,0,0,0
1934-09,17,0,0,0,0,0,0,0
1934-10,2,0,0,0,0,0,0,0
1934-11,4,0,0,0,0,0,0,0
1934-12,7,0,0,0,0,0,0,0
1935-01,19,0,0,0,0,0,0,0
1935-02,41,0,0,0,0,0,0,0
1935-03,16,0,0,0,0,0,0,0
1935-04,8,0,0,0,0,0,0,0
1935-05,10,0,0,0,0,0,0,0
1935-06,361,0,57,0,0,1,1,0
1935-07,14,0,0,0,0,0,0,0
1935-08,7,0,0,0,0,0,0,0
1935-09,13,0,0,0,0,0,0,0
1935-10,11,0,0,0,0,0,0,0
1935-11,6,0,0,0,0,0,0,0
1935-12,8,0,0,0,0,0,0,0
1936-01,14,0,0,0,0,0,0,0
1936-02,60,0,0,0,0,1,0,0
1936-03,14,0,0,0,0,0,0,0
1936-04,8,0,0,0,0,0,0,0
1936-05,13,0,0,0,0,0,0,0
1936-06,473,0,95,0,1,2,0,0
1936-07,28,0,0,0,0,0,0,0
1936-08,9,0,0,0,0,0,0,0
1936-09,15,0,1,0,0,0,0,0
1936-10,9,0,0,0,0,0,0,0
1936-11,8,0,0,0,0,0,0,0
1936-12,8,0,0,0,0,0,0,0
1937-01,16,0,0,0,0,0,0,0
1937-02,74,0,0,0,0,1,0,0
1937-03,10,0,0,0,0,0,0,0
1937-04,10,0,0,0,0,0,0,0
1937-05,13,0,0,0,0,0,0,0
1937-06,484,0,90,0,1,3,0,0
1937-07,24,0,0,0,0,0,0,0
1937-08,6,0,0,0,0,0,0,0
1937-09,18,0,0,0,0,0,0,0
1937-10,7,0,0,0,0,0,0,0
1937-11,12,0,0,0,0,0,0,0
1937-12,9,0,0,0,0,0,0,0
1938-01,14,0,0,0,0,0,0,0
1938-02,66,0,0,0,0,1,0,0
1938-03,14,0,1,0,0,0,0,0
1938-04,6,0,0,0,0,0,0,0
1938-05,11,0,0,0,0,0,0,0
1938-06,668,0,153,0,0,2,0,0
1938-07,32,0,0,0,0,0,0,0
1938-08,7,0,0,0,0,0,0,0
1938-09,13,0,0,0,0,0,0,0
1938-10,4,0,0,0,0,0,0,0
1938-11,2,0,0,0,0,0,0,0
1938-12,8,0,0,0,0,0,0,0
1939-01,31,0,0,0,0,0,0,0
1939-02,78,0,1,0,0,2,0,0
1939-03,15,0,0,0,0,0,0,0
1939-04,13,0,0,0,0,0,0,0
1939-05,11,0,0,0,0,0,0,0
1939-06,663,0,162,0,1,2,0,0
1939-07,19,0,0,0,0,0,0,0
1939-08,8,0,0,0,0,1,0,0
1939-09,16,0,0,0,0,0,0,0
1939-10,4,0,0,0,0,0,0,0
1939-11,7,0,0,0,0,0,0,0
1939-12,6,0,0,0,0,0,0,0
1940-01,11,0,0,0,0,0,0,0
1940-02,61,0,0,0,0,3,0,0
1940-03,1,0,0,0,0,0,0,0
1940-04,5,0,0,0,0,0,0,0
1940-05,5,0,0,0,0,0,0,0
1940-06,471,0,118,0,0,9,0,0
1940-07,8,0,0,0,0,0,0,0
1940-08,3,0,0,0,0,0,0,0
1940-09,5,0,0,0,0,0,0,0
1940-10,1,0,0,0,0,0,0,0
1940-12,6,0,0,0,0,0,0,0
1941-01,9,0,1,0,0,1,0,0
1941-02,113,0,0,0,0,6,0,0
1941-03,5,0,0,0,0,0,0,0
1941-04,3,0,0,0,0,0,0,0
1941-05,4,0,0,0,0,0,0,0
1941-06,437,2,93,0,0,17,0,0
1941-07,16,0,0,0,0,1,0,0
1941-08,2,0,0,0,0,0,0,0
1941-09,17,1,0,0,0,2,0,0
1941-10,3,0,0,0,0,0,0,0
1941-11,4,0,0,0,0,0,0,0
1941-12,10,0,1,0,0,1,0,0
1942-01,33,0,0,0,0,1,0,0
1942-02,180,0,2,0,0,3,0,0
1942-03,16,0,0,0,0,0,0,0
1942-04,9,0,1,0,0,0,0,0
1942-05,8,0,0,0,0,0,0,0
1942-06,1240,0,66,0,0,46,0,1
1942-07,32,0,0,0,0,0,0,0
1942-08,12,0,0,0,0,1,0,0
1942-09,54,0,0,0,0,4,0,0
1942-10,13,0,1,0,0,0,0,0
1942-11,9,0,0,0,0,1,0,0
1942-12,19,0,0,0,0,2,0,0
1943-01,28,0,0,0,0,1,0,0
1943-02,86,0,0,0,0,1,0,0
1943-03,14,0,0,0,0,1,0,0
1943-04,8,0,0,0,0,0,0,0
1943-05,12,0,0,0,0,0,0,0
1943-06,1313,1,50,0,2,65,0,0
1943-07,30,0,1,0,0,0,0,0
1943-08,8,0,0,0,0,0,0,0
1943-09,38,0,0,0,0,7,0,0
1943-10,10,0,0,0,0,0,0,0
1943-11,6,0,0,0,0,0,0,0
1943-12,10,0,0,0,0,0,0,0
1944-01,13,0,1,0,0,0,0,0
1944-02,43,0,1,0,0,2,0,0
1944-03,12,0,1,0,0,0,0,0
1944-04,4,0,0,0,0,1,0,0
1944-05,8,0,0,0,0,0,0,0
1944-06,739,1,57,1,0,40,0,0
1944-07,23,0,0,0,0,2,0,0
1944-08,3,0,0,0,0,0,0,0
1944-09,27,0,1,0,0,1,0,0
1944-10,12,0,0,0,0,0,0,0
1944-11,15,0,0,0,0,3,0,0
